sigla_tribunal,procedimento,ramo_justica,sigla_grau,uf_oj,municipio_oj,id_ultimo_oj,nome,mesano_cnm1,mesano_sent,casos_novos_2026,julgados_2026,prim_sent2026,suspensos_2026,dessobrestados_2026,cumprimento_meta1,distm2_a,julgm2_a,suspm2_a,cumprimento_meta2a,distm2_ant,julgm2_ant,suspm2_ant,desom2_ant,cumprimento_meta2ant,distm4_a,julgm4_a,suspm4_a,cumprimento_meta4a,distm4_b,julgm4_b,suspm4_b,cumprimento_meta4b
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,NA NA,21,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Nov 2016,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Nov 2017,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Nov 2018,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Nov 2020,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Nov 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Nov 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Nov 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Nov 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Nov 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Out 2015,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Out 2017,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Out 2019,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Out 2020,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Out 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Out 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Out 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Out 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Out 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Set 2020,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Set 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Set 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Set 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Set 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14713,6ª ZONA ELEITORAL - SÃO PAULO - VILA MARIANA,Dez 2025,Set 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14727,20ª ZONA ELEITORAL - SÃO PAULO - VALO VELHO,Dez 2025,Dez 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14727,20ª ZONA ELEITORAL - SÃO PAULO - VALO VELHO,Dez 2025,Dez 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14727,20ª ZONA ELEITORAL - SÃO PAULO - VALO VELHO,Dez 2025,Dez 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14727,20ª ZONA ELEITORAL - SÃO PAULO - VALO VELHO,Dez 2025,Fev 2026,0,1,0,0,0,Inf,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14727,20ª ZONA ELEITORAL - SÃO PAULO - VALO VELHO,Dez 2025,Mai 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14727,20ª ZONA ELEITORAL - SÃO PAULO - VALO VELHO,Dez 2025,Mar 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14916,320ª ZONA ELEITORAL - SÃO PAULO - JABAQUARA,Dez 2025,Abr 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14916,320ª ZONA ELEITORAL - SÃO PAULO - JABAQUARA,Dez 2025,Ago 2011,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14916,320ª ZONA ELEITORAL - SÃO PAULO - JABAQUARA,Dez 2025,Ago 2013,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14916,320ª ZONA ELEITORAL - SÃO PAULO - JABAQUARA,Dez 2025,Dez 2013,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14916,320ª ZONA ELEITORAL - SÃO PAULO - JABAQUARA,Dez 2025,Dez 2014,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14916,320ª ZONA ELEITORAL - SÃO PAULO - JABAQUARA,Dez 2025,Dez 2015,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14916,320ª ZONA ELEITORAL - SÃO PAULO - JABAQUARA,Dez 2025,Fev 2018,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14916,320ª ZONA ELEITORAL - SÃO PAULO - JABAQUARA,Dez 2025,Jan 2014,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14916,320ª ZONA ELEITORAL - SÃO PAULO - JABAQUARA,Dez 2025,Jul 2015,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14916,320ª ZONA ELEITORAL - SÃO PAULO - JABAQUARA,Dez 2025,Mai 2020,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14916,320ª ZONA ELEITORAL - SÃO PAULO - JABAQUARA,Dez 2025,Mar 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14916,320ª ZONA ELEITORAL - SÃO PAULO - JABAQUARA,Dez 2025,NA NA,1,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14916,320ª ZONA ELEITORAL - SÃO PAULO - JABAQUARA,Dez 2025,Out 2018,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14916,320ª ZONA ELEITORAL - SÃO PAULO - JABAQUARA,Dez 2025,Set 2013,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14984,246ª ZONA ELEITORAL - SÃO PAULO - SANTO AMARO,Dez 2025,Abr 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14984,246ª ZONA ELEITORAL - SÃO PAULO - SANTO AMARO,Dez 2025,Dez 2019,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14984,246ª ZONA ELEITORAL - SÃO PAULO - SANTO AMARO,Dez 2025,Mar 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14984,246ª ZONA ELEITORAL - SÃO PAULO - SANTO AMARO,Dez 2025,Mar 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14984,246ª ZONA ELEITORAL - SÃO PAULO - SANTO AMARO,Dez 2025,NA NA,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14984,246ª ZONA ELEITORAL - SÃO PAULO - SANTO AMARO,Dez 2025,Nov 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14984,246ª ZONA ELEITORAL - SÃO PAULO - SANTO AMARO,Dez 2025,Set 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14988,247ª ZONA ELEITORAL - SÃO PAULO - SÃO MIGUEL PAULISTA,Dez 2025,Ago 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14988,247ª ZONA ELEITORAL - SÃO PAULO - SÃO MIGUEL PAULISTA,Dez 2025,Jan 2026,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14988,247ª ZONA ELEITORAL - SÃO PAULO - SÃO MIGUEL PAULISTA,Dez 2025,Jun 2020,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14989,248ª ZONA ELEITORAL - SÃO PAULO - ITAQUERA,Dez 2025,Dez 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14989,248ª ZONA ELEITORAL - SÃO PAULO - ITAQUERA,Dez 2025,Fev 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14990,249ª ZONA ELEITORAL - SÃO PAULO - SANTANA,Dez 2025,Abr 2016,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14990,249ª ZONA ELEITORAL - SÃO PAULO - SANTANA,Dez 2025,Abr 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14990,249ª ZONA ELEITORAL - SÃO PAULO - SANTANA,Dez 2025,Ago 2020,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14990,249ª ZONA ELEITORAL - SÃO PAULO - SANTANA,Dez 2025,Dez 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14990,249ª ZONA ELEITORAL - SÃO PAULO - SANTANA,Dez 2025,Dez 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14990,249ª ZONA ELEITORAL - SÃO PAULO - SANTANA,Dez 2025,Fev 2026,0,1,1,0,0,Inf,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14990,249ª ZONA ELEITORAL - SÃO PAULO - SANTANA,Dez 2025,Mar 2020,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14990,249ª ZONA ELEITORAL - SÃO PAULO - SANTANA,Dez 2025,Mar 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14990,249ª ZONA ELEITORAL - SÃO PAULO - SANTANA,Dez 2025,NA NA,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14990,249ª ZONA ELEITORAL - SÃO PAULO - SANTANA,Dez 2025,Nov 2015,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14991,250ª ZONA ELEITORAL - SÃO PAULO - LAPA,Dez 2025,Ago 2020,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14991,250ª ZONA ELEITORAL - SÃO PAULO - LAPA,Dez 2025,Dez 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14991,250ª ZONA ELEITORAL - SÃO PAULO - LAPA,Dez 2025,Dez 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14991,250ª ZONA ELEITORAL - SÃO PAULO - LAPA,Dez 2025,Fev 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14991,250ª ZONA ELEITORAL - SÃO PAULO - LAPA,Dez 2025,Jan 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14991,250ª ZONA ELEITORAL - SÃO PAULO - LAPA,Dez 2025,Jul 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14991,250ª ZONA ELEITORAL - SÃO PAULO - LAPA,Dez 2025,Jun 2020,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14991,250ª ZONA ELEITORAL - SÃO PAULO - LAPA,Dez 2025,Mai 2020,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14991,250ª ZONA ELEITORAL - SÃO PAULO - LAPA,Dez 2025,Mai 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14991,250ª ZONA ELEITORAL - SÃO PAULO - LAPA,Dez 2025,Mar 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14991,250ª ZONA ELEITORAL - SÃO PAULO - LAPA,Dez 2025,NA NA,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14991,250ª ZONA ELEITORAL - SÃO PAULO - LAPA,Dez 2025,Nov 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14991,250ª ZONA ELEITORAL - SÃO PAULO - LAPA,Dez 2025,Out 2020,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Abr 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Ago 2011,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Ago 2020,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Ago 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Dez 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Fev 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Fev 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Jan 2020,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Jan 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Jul 2020,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Jul 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Jul 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Mai 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Mar 2018,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Mar 2025,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,NA NA,2,0,0,0,0,0,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Nov 2016,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Nov 2021,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Nov 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Nov 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Out 2015,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Out 2023,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Out 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Set 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14992,251ª ZONA ELEITORAL - SÃO PAULO - PINHEIROS,Dez 2025,Set 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14993,252ª ZONA ELEITORAL - SÃO PAULO - PENHA DE FRANÇA,Dez 2025,Abr 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14993,252ª ZONA ELEITORAL - SÃO PAULO - PENHA DE FRANÇA,Dez 2025,NA NA,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14994,253ª ZONA ELEITORAL - SÃO PAULO - TATUAPÉ,Dez 2025,Abr 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14994,253ª ZONA ELEITORAL - SÃO PAULO - TATUAPÉ,Dez 2025,Ago 2020,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14994,253ª ZONA ELEITORAL - SÃO PAULO - TATUAPÉ,Dez 2025,Fev 2024,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14994,253ª ZONA ELEITORAL - SÃO PAULO - TATUAPÉ,Dez 2025,Jan 2020,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14994,253ª ZONA ELEITORAL - SÃO PAULO - TATUAPÉ,Dez 2025,Jul 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14994,253ª ZONA ELEITORAL - SÃO PAULO - TATUAPÉ,Dez 2025,Jun 2018,0,0,0,0,0,,,,,,,,,,,,,,,,,,
TRE-SP,Conhecimento não criminal,Justiça Eleitoral,G1,SP,SAO PAULO,14994,253ª ZONA ELEITORAL - SÃO PAULO - TATUAPÉ,Dez 2025,Jun 2022,0,0,0,0,0,,,,,,,,,,,,,,,,,,
